"par_names","true_vals","start_val","mean","sd","sd_mean","CI_lo","CI_up","contained_CI","HPD_lo","HPD_up","contained_HPD","2.5%","25%","50%","75%","97.5%","ess"
"sig_sq_x_1",0.21,0.21,0.210071301706745,0.000780606547739789,3.49097860885521e-05,0.208850889030144,0.211308296241399,TRUE,0.208850470552251,0.211308090137484,TRUE,0.208555446223438,0.209521838282807,0.210125796715759,0.210588577639746,0.211548340853713,500
"sig_sq_x_2",0.32,0.32,0.318741554272572,0.00115342558030466,5.15827600909672e-05,0.316797046297582,0.320773615242548,TRUE,0.317048672263447,0.320902761670954,TRUE,0.316446637185922,0.317956648702613,0.3187399401393,0.319513332671089,0.320916492704032,500
"sig_sq_x_3",0.43,0.43,0.429925518296706,0.00152384428494297,6.81483881651409e-05,0.427561285325623,0.432484460936015,TRUE,0.427563129901362,0.432510709095651,TRUE,0.427058707937979,0.428873922785997,0.429835588484738,0.430974887826595,0.432805137139756,500
"phi_x_1",0.35,0.35,0.349933495138377,0.000161246967260928,7.21118359922237e-06,0.349651771345652,0.350171393494091,TRUE,0.349649921809555,0.35017109788711,TRUE,0.349605822111752,0.34982545393288,0.349942755535155,0.350039515148064,0.350240113082248,500
"phi_x_2",0.55,0.55,0.550160088755681,0.000120733733810327,5.39937671954511e-06,0.549964847998105,0.550360956033,TRUE,0.549956426662362,0.550344346527064,TRUE,0.549921496789186,0.550077610098603,0.550161028124232,0.550235894354881,0.550398411428199,500
"phi_x_3",0.75,0.75,0.749839292128525,0.000296638663237689,1.32660843150828e-05,0.749382779791102,0.750329860212332,TRUE,0.749397890496556,0.750340197427394,TRUE,0.749299771369188,0.749636598788975,0.749839525947084,0.750033526502852,0.750428294261128,500
"Z_1_1",-2.5,-2.5,-2.50085742272654,0.000829682190472233,3.71045155523368e-05,-2.50221429001874,-2.49960349576972,TRUE,-2.50213142953911,-2.49953032314185,TRUE,-2.50249682905434,-2.50140154996589,-2.50082806626112,-2.50031296783546,-2.49939013447902,500
"Z_2_1",3,3,3.00065243033481,0.000860176393168332,3.84682577552995e-05,2.99922130305085,3.00204189842561,TRUE,2.99931903779343,3.00208995684895,TRUE,2.99893036895778,3.00008392877965,3.00069424382495,3.00128763526762,3.00222442437938,500
"Z_3_1",-2.5,-2.5,-2.4985276354069,0.000885005935836655,3.69716533664093e-05,-2.5000002891081,-2.49712430631195,TRUE,-2.50000918731001,-2.49718791710808,TRUE,-2.50028623082692,-2.49908076138093,-2.49852268478656,-2.4979307220614,-2.49681583941945,573
"Z_1_2",2,2,2.00004739235114,0.00105073074088661,4.69901072534237e-05,1.99842329416207,2.00187832672586,TRUE,1.99844222435094,2.00189530648137,TRUE,1.99808834732855,1.99934090898406,2.00004102308151,2.00071342294423,2.00222551423357,500
"Z_2_2",-4,-4,-3.99887420743609,0.000972444792914513,4.34890532264511e-05,-4.00051051918143,-3.99725883698152,TRUE,-4.00041780092363,-3.99722306847823,TRUE,-4.00078670788945,-3.99951910836801,-3.99883791037377,-3.99821944088673,-3.99707046039938,500
"Z_3_2",2,2,2.00091441858109,0.00102417587535452,4.5802537564161e-05,1.99930266553625,2.00272376527294,TRUE,1.99925545635734,2.00265420291415,TRUE,1.99904633001011,2.00018084517791,2.00087441091695,2.00161299540351,2.00291879269086,500
"Z_1_3",-0.4,-0.4,-0.399526475662227,0.00121934611601338,5.45308160701251e-05,-0.40147537824761,-0.397469637555819,TRUE,-0.401479873659251,-0.397471507769705,TRUE,-0.40182508210046,-0.400338858646496,-0.39950931691571,-0.398745328646639,-0.397116720018747,500
"Z_2_3",0.7,0.7,0.69967941298884,0.0011937603251303,5.33865847166718e-05,0.697773771700545,0.701722011681149,TRUE,0.697791204317707,0.701727943668493,TRUE,0.697447909901829,0.698825358753216,0.699697727317472,0.700492283944984,0.701937762617252,500
"Z_3_3",-0.4,-0.4,-0.398327664246758,0.00120143954491612,5.37300098657773e-05,-0.400225448219009,-0.396306768993005,TRUE,-0.400293569118102,-0.396384820981006,TRUE,-0.40058568525208,-0.399120531123572,-0.398367542686097,-0.397524699584855,-0.396037720412126,500
"U_1_1_1",-3.73543584368267,-3.73543584,-3.76793081281196,0.0271889273434823,0.00121592579550659,-3.81122197249175,-3.7232920692903,TRUE,-3.81004022314733,-3.7226440468691,TRUE,-3.82289806807616,-3.78577205974609,-3.76848169066638,-3.74925790387081,-3.71285334570073,500
"U_1_1_2",0.438248042548484,0.43824804,0.38602593013695,0.0517788712936176,0.00231562152021483,0.300347680176428,0.477671160297939,TRUE,0.299207748692184,0.468632459008433,TRUE,0.284415275707502,0.353586451886558,0.383000077785525,0.420502197907834,0.489570540434589,500
"U_1_1_3",-4.65279502178882,-4.65279502,-4.95271495446207,0.441726004117838,0.0197545874527368,-5.65845562391331,-4.22137906319867,TRUE,-5.63136674607908,-4.21143672403197,TRUE,-5.77139675162065,-5.26696343177038,-4.94320838230456,-4.66350822276728,-4.09788114521537,500
"U_1_1_4",-4.77301029134645,-4.77301029,-4.77851826716195,0.0197236042499267,0.000882066397282798,-4.8125044341162,-4.74666237230536,TRUE,-4.80959025121797,-4.74499686483229,TRUE,-4.8171419338415,-4.79163474354565,-4.77763309384569,-4.76558533500339,-4.73921483735642,500
"U_1_1_5",-7.24045491320587,-7.24045491,-7.22420314035743,0.0198360384775332,0.000887094608801314,-7.25794934335384,-7.19396251526681,TRUE,-7.25807008911433,-7.19399342816608,TRUE,-7.26603381476056,-7.23744457284843,-7.22363298853733,-7.21075800529638,-7.18646152246088,500
